Where,Euler1,Euler2,Euler3,Time,Input
Init,0,0,0,0.003942966,null
Init,0,0,0,0.004177034,null
Init,0,0,0,0.003607988,null
Init,0,0,0,0.004074991,null
Init,0,0,0,0.003935993,null
Init,0,0,0,0.004337013,null
Init,0,0,0,0.003799975,null
Init,0,0,0,0.004065037,null
Init,0,0,0,0.003898978,null
Init,0,0,0,0.004272997,null
Init,0,0,0,0.003978014,null
Init,0,0,0,0.003877997,null
Init,0,0,0,0.003944993,null
Init,0,0,0,0.004217982,null
Init,0,0,0,0.003713012,null
Init,0,0,0,0.003975034,null
Init,0,0,0,0.004186988,null
Init,0,0,0,0.003859997,null
Init,0,0,0,0.003831983,null
Init,0,0,0,0.004337013,null
Init,0,0,0,0.003630996,null
Init,0,0,0,0.004104972,null
Init,0,0,0,0.004135013,null
Init,0,0,0,0.003782034,null
Init,0,0,0,0.004269004,null
Init,0,0,0,0.004069984,null
Init,0,0,0,0.003827989,null
Init,0,0,0,0.004320025,null
Init,0,0,0,0.003614962,null
Init,0,0,0,0.004088998,null
Init,0,0,0,0.003856003,null
Init,0,0,0,0.004233003,null
Init,0,0,0,0.003786981,null
Init,0,0,0,0.004180014,null
Init,0,0,0,0.003987014,null
Init,0,0,0,0.003989995,null
Init,0,0,0,0.003986001,null
Init,0,0,0,0.004227996,null
Init,0,0,0,0.003915012,null
Init,0,0,0,0.003991008,null
Init,0,0,0,0.003969014,null
Init,0,0,0,0.003963947,null
Init,0,0,0,0.003838003,null
Init,0,0,0,0.004193008,null
Init,0,0,0,0.003912032,null
Init,0,0,0,0.003888011,null
Init,0,0,0,0.004008949,null
Init,0,0,0,0.004242003,null
Init,0,0,0,0.003922045,null
Init,0,0,0,0.004204988,null
Init,0,0,0,0.003720999,null
Init,0,0,0,0.00396502,null
Init,0,0,0,0.00413096,null
Init,0,0,0,0.004005015,null
Init,0,0,0,0.003785014,null
Init,0,0,0,0.004197001,null
Init,0,0,0,0.003883004,null
Init,0,0,0,0.003889978,null
Init,0,0,0,0.004118979,null
Init,0,0,0,0.004185021,null
Init,0,0,0,0.004051983,null
Init,0,0,0,0.003886998,null
Init,0,0,0,0.003988028,null
Init,0,0,0,0.003875971,null
Init,0,0,0,0.003921032,null
Init,0,0,0,0.004243016,null
Init,0,0,0,0.004052997,null
Init,0,0,0,0.003861964,null
Init,0,0,0,0.004077017,null
Init,0,0,0,0.004077017,null
Init,0,0,0,0.003901005,null
Init,0,0,0,0.003914952,null
Init,0,0,0,0.003989995,null
Init,0,0,0,0.004251003,null
Init,0,0,0,0.003836036,null
Init,0,0,0,0.003939986,null
Init,0,0,0,0.003787994,null
Init,0,0,0,0.004009008,null
Init,0,0,0,0.004082024,null
Init,0,0,0,0.004298985,null
Init,0,0,0,0.003695011,null
Init,0,0,0,0.004200995,null
Init,0,0,0,0.003982008,null
Init,0,0,0,0.004088998,null
Init,0,0,0,0.003789961,null
Init,0,0,0,0.004006028,null
Init,0,0,0,0.004006982,null
Init,0,0,0,0.003904998,null
Init,0,0,0,0.003970027,null
Init,0,0,0,0.004109979,null
Init,0,0,0,0.003916979,null
Init,0,0,0,0.00406003,null
Init,0,0,0,0.003853977,null
Init,0,0,0,0.004429996,null
Init,0,0,0,0.00405103,null
Init,0,0,0,0.003657997,null
Init,0,0,0,0.004033983,null
Init,0,0,0,0.004078984,null
Init,0,0,0,0.003840029,null
Init,0,0,0,0.004235983,null
Init,0,0,0,0.004014015,null
Init,0,0,0,0.003926992,null
Init,0,0,0,0.003991008,null
Init,0,0,0,0.00394398,null
Init,0,0,0,0.004034042,null
Init,0,0,0,0.003761947,null
Init,0,0,0,0.00425905,null
Init,0,0,0,0.003739953,null
Init,0,0,0,0.00406003,null
Init,0,0,0,0.00414902,null
Init,0,0,0,0.003933966,null
Init,0,0,0,0.004086018,null
Init,0,0,0,0.003953993,null
Init,0,0,0,0.003982008,null
Init,0,0,0,0.004019976,null
Init,0,0,0,0.004105031,null
Init,0,0,0,0.003772974,null
Init,0,0,0,0.004396021,null
Init,0,0,0,0.003776014,null
Init,0,0,0,0.004303992,null
Init,0,0,0,0.003601968,null
Init,0,0,0,0.003948987,null
Init,0,0,0,0.004021049,null
Init,0,0,0,0.004245996,null
Init,0,0,0,0.003816962,null
Init,0,0,0,0.003953993,null
Init,0,0,0,0.004102051,null
Init,0,0,0,0.004128993,null
Init,0,0,0,0.003957987,null
Init,0,0,0,0.00396198,null
Init,0,0,0,0.003973007,null
Init,0,0,0,0.004019022,null
Init,0,0,0,0.01192701,null
Init,0,0,0,0.004263997,null
Init,0,0,0,0.003583968,null
Init,0,0,0,0.004146039,null
Init,0,0,0,0.003992975,null
Init,0,0,0,0.003865004,null
Init,0,0,0,0.003989995,null
Init,0,0,0,0.004092991,null
Init,0,0,0,0.003922999,null
Init,0,0,0,0.004011989,null
Init,0,0,0,0.003886998,null
Init,0,0,0,0.004041016,null
Init,0,0,0,0.004364014,null
Init,0,0,0,0.003871024,null
Init,0,0,0,0.004075944,null
Init,0,0,0,0.004007041,null
Init,0,0,0,0.003883004,null
Init,0,0,0,0.004188001,null
Init,0,0,0,0.003736973,null
Init,0,0,0,0.003925979,null
Init,0,0,0,0.004124045,null
Init,0,0,0,0.003968954,null
Init,0,0,0,0.003955007,null
Init,0,0,0,0.004199028,null
Init,0,0,0,0.003723979,null
Init,0,0,0,0.004100025,null
Init,0,0,0,0.003969014,null
Init,0,0,0,0.004061997,null
Init,0,0,0,0.004220009,null
